id_ibge,nc,votos,urnas_apuradas,prop,secoes_totais
1505494,JAIR BOLSONARO,1774,100.00,40.74,20
1505494,LULA,2580,100.00,59.26,20
1505502,JAIR BOLSONARO,32193,100.00,59.23,210
1505502,LULA,22155,100.00,40.77,210
1505536,JAIR BOLSONARO,83810,100.00,59.78,495
1505536,LULA,56389,100.00,40.22,495
1505551,JAIR BOLSONARO,2849,100.00,54.60,24
1505551,LULA,2369,100.00,45.40,24
1505601,JAIR BOLSONARO,1940,100.00,29.31,33
1505601,LULA,4680,100.00,70.69,33
1505635,JAIR BOLSONARO,3609,100.00,52.94,34
1505635,LULA,3208,100.00,47.06,34
1505650,JAIR BOLSONARO,6541,100.00,64.30,44
1505650,LULA,3632,100.00,35.70,44
1505700,JAIR BOLSONARO,4140,100.00,25.45,62
1505700,LULA,12129,100.00,74.55,62
1505809,JAIR BOLSONARO,8354,100.00,33.82,120
1505809,LULA,16351,100.00,66.18,120
1505908,JAIR BOLSONARO,5928,100.00,37.34,70
1505908,LULA,9949,100.00,62.66,70
1506005,JAIR BOLSONARO,8220,100.00,42.46,97
1506005,LULA,11140,100.00,57.54,97
1506104,JAIR BOLSONARO,1935,100.00,24.68,31
1506104,LULA,5905,100.00,75.32,31
1506112,JAIR BOLSONARO,1702,100.00,24.45,34
1506112,LULA,5260,100.00,75.55,34
1506138,JAIR BOLSONARO,32790,100.00,69.24,186
1506138,LULA,14569,100.00,30.76,186
1506161,JAIR BOLSONARO,6088,100.00,58.59,45
1506161,LULA,4303,100.00,41.41,45
1506187,JAIR BOLSONARO,10818,100.00,53.43,96
1506187,LULA,9430,100.00,46.57,96
1506195,JAIR BOLSONARO,8443,100.00,60.64,64
1506195,LULA,5480,100.00,39.36,64
1506203,JAIR BOLSONARO,9136,100.00,34.88,100
1506203,LULA,17053,100.00,65.12,100
1506302,JAIR BOLSONARO,4183,100.00,28.58,65
1506302,LULA,10453,100.00,71.42,65
1506351,JAIR BOLSONARO,5668,100.00,43.08,56
1506351,LULA,7489,100.00,56.92,56
1506401,JAIR BOLSONARO,1177,100.00,27.76,22
1506401,LULA,3063,100.00,72.24,22
1506500,JAIR BOLSONARO,17392,100.00,45.87,143
1506500,LULA,20526,100.00,54.13,143
1506559,JAIR BOLSONARO,3385,100.00,26.26,64
1506559,LULA,9505,100.00,73.74,64
1506583,JAIR BOLSONARO,5548,100.00,62.19,48
1506583,LULA,3373,100.00,37.81,48
1506609,JAIR BOLSONARO,7328,100.00,43.62,62
1506609,LULA,9470,100.00,56.38,62
1506708,JAIR BOLSONARO,10661,100.00,64.07,76
